Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6670445;11949535;11809207;1;KU;42;N;;0;ei henkilövahinkoa;;;
6604028;11949552;11809219;1;KU;71;M;;0;ei henkilövahinkoa;;;
6527040;11949757;11809241;1;KU;35;N;;0;ei henkilövahinkoa;;;
6501351;11949763;11807680;1;KU;;N;;0;ei henkilövahinkoa;;;
6595130;11949815;11807722;1;KU;39;M;;0;ei henkilövahinkoa;;;
6595130;11949815;11807723;1;MA;4;N;;0;ei henkilövahinkoa;;;
6595130;11949815;11807724;1;MA;3;M;;0;ei henkilövahinkoa;;;
6595130;11949816;11807725;2;KU;;;;0;ei henkilövahinkoa;;;
6588048;11950001;11807742;1;KU;65;M;;0;ei henkilövahinkoa;;;
6588048;11950002;11807743;2;KU;24;M;;0;ei henkilövahinkoa;;;
6616740;11950008;11807748;1;KU;68;N;;0;ei henkilövahinkoa;;;
6616740;11950009;11807749;2;MA;35;M;;0;ei henkilövahinkoa;;;
6616740;11950009;11807750;2;KU;24;N;;0;ei henkilövahinkoa;;;
6585749;11950019;11808881;1;KU;40;M;;0;ei henkilövahinkoa;;;
6585749;11950020;11808882;2;KU;28;M;;0;ei henkilövahinkoa;;;
6565045;11950029;11808893;1;KU;15;M;;0;ei henkilövahinkoa;;;
6565045;11950030;11808894;2;KU;19;M;X;0;ei henkilövahinkoa;;;
6556110;11950033;11808898;1;KU;54;M;;0;ei henkilövahinkoa;;;
6556110;11950034;11808899;2;KU;56;M;;0;ei henkilövahinkoa;;;
6638520;11950048;11808915;1;MA;48;N;;L;loukkaantunut;;;
6638520;11950048;11808916;1;KU;53;M;;L;loukkaantunut;;;
6661129;11950054;11808922;1;KU;28;M;;K;kuollut;;;
6661129;11950055;11808923;2;KU;51;M;;L;loukkaantunut;;;
6637363;11950205;11808940;1;MA;47;N;;L;loukkaantunut;;;
6637363;11950205;11808941;1;MA;47;M;;L;loukkaantunut;;;
6637363;11950205;11808942;1;MA;16;N;;L;loukkaantunut;;;
6637363;11950205;11808943;1;MA;12;N;;L;loukkaantunut;;;
6637363;11950205;11808944;1;KU;18;M;X;L;loukkaantunut;;;
6637363;11950206;11808945;2;KU;30;M;;0;ei henkilövahinkoa;;;
6645395;11950235;11809731;1;KU;25;M;;L;loukkaantunut;;;
6645395;11950236;11809732;2;KU;22;M;;L;loukkaantunut;;;
6636630;11950402;11809750;1;KU;43;M;;0;ei henkilövahinkoa;;;
6636630;11950402;11809751;1;MA;;N;;0;ei henkilövahinkoa;;;
6636630;11950402;11809752;1;MA;;N;;0;ei henkilövahinkoa;;;
6636630;11950403;11809753;2;KU;37;N;;0;ei henkilövahinkoa;;;
6636630;11950404;11809754;3;KU;;M;;0;ei henkilövahinkoa;;;
6645380;11950425;11807441;1;KU;48;N;;L;loukkaantunut;;;
6636545;11950818;11809451;1;KU;19;M;;0;ei henkilövahinkoa;;;
6555799;11950832;11809469;1;KU;;;;0;ei henkilövahinkoa;;;
6556040;11950839;11809476;1;KU;30;M;;0;ei henkilövahinkoa;;;
6556040;11950839;11809477;1;MA;;N;;0;ei henkilövahinkoa;;;
6556040;11950839;11809478;1;MA;;;;0;ei henkilövahinkoa;;;
6556040;11950840;11809479;2;KU;76;M;;0;ei henkilövahinkoa;;;
6589432;11950848;11809488;1;KU;22;N;;0;ei henkilövahinkoa;;;
6589432;11950849;11809489;2;MA;19;M;;0;ei henkilövahinkoa;;;
6589432;11950849;11809490;2;KU;18;N;X;0;ei henkilövahinkoa;;;
6555937;11951065;11809512;1;KU;;M;U;0;ei henkilövahinkoa;;;
6555937;11951065;11809513;1;MA;;M;;0;ei henkilövahinkoa;;;
6555937;11951065;11809514;1;MA;;N;;0;ei henkilövahinkoa;;;
6555937;11951065;11809515;1;MA;;N;;0;ei henkilövahinkoa;;;
6556041;11951067;11809518;1;KU;31;M;;0;ei henkilövahinkoa;;;
6556041;11951068;11809519;2;KU;22;M;;0;ei henkilövahinkoa;;;
6556041;11951068;11809520;2;MA;;M;;0;ei henkilövahinkoa;;;
6556041;11951068;11809521;2;MA;;N;;0;ei henkilövahinkoa;;;
6501425;11951080;11807167;1;MA;57;M;;0;ei henkilövahinkoa;;;
6501425;11951080;11807168;1;KU;38;M;;0;ei henkilövahinkoa;;;
6501425;11951081;11807169;2;MA;18;N;;0;ei henkilövahinkoa;;;
6501425;11951081;11807170;2;KU;26;M;;0;ei henkilövahinkoa;;;
6528004;11951119;11807218;1;MA;20;M;;0;ei henkilövahinkoa;;;
6528004;11951119;11807219;1;KU;30;M;;0;ei henkilövahinkoa;;;
6528004;11951120;11807220;2;MA;41;M;;0;ei henkilövahinkoa;;;
6528004;11951120;11807221;2;KU;39;N;;0;ei henkilövahinkoa;;;
6477719;11947281;11807229;1;MA;18;M;;0;ei henkilövahinkoa;;;
6477719;11947281;11807230;1;MA;15;N;;0;ei henkilövahinkoa;;;
6477719;11947281;11807231;1;MA;17;N;;0;ei henkilövahinkoa;;;
6477719;11947281;11807232;1;KU;18;M;X;0;ei henkilövahinkoa;;;
6588093;11947340;11808042;1;KU;21;M;;0;ei henkilövahinkoa;;;
6588093;11947341;11808043;2;KU;18;M;X;0;ei henkilövahinkoa;;;
